,episode,speaker,speech,word_count
347,ep_2,GENDRY," Look, I know you want to fight. And I know you're not scared of rapers or murderers or-This is different. This is-This is death. You want to know what they're like? Death. That's what they're like.",36
348,ep_2,ARYA, I know Death.,3
349,ep_2,ARYA, He's got many faces.,4
350,ep_2,ARYA, I look forward to seeing this one.,7
351,ep_2,ARYA, My weapon?,2
352,ep_2,GENDRY, I'll get right on it.,5
353,ep_2,JAIME, I'm sorry for what I did to you.,8
354,ep_2,BRAN, You weren't sorry then. You were protecting your family.,9
355,ep_2,JAIME, I'm not that person anymore.,5
356,ep_2,BRAN," You still would be, if you hadn't pushed me out of that window. And I would still be Brandon Stark.",20
357,ep_2,JAIME, You're not?,2
358,ep_2,BRAN, No. I'm something else now.,5
359,ep_2,JAIME, You're not angry at me.,5
360,ep_2,BRAN, I'm not angry at anyone.,5
361,ep_2,JAIME, Why didn't you tell them?,5
362,ep_2,BRAN, You won't be able to help us in this fight if I let them murder you first.,17
363,ep_2,JAIME, What about afterwards?,3
364,ep_2,BRAN, How do you know there is an afterwards?,8
365,ep_2,TYRION," Well, here we are.",4
366,ep_2,JAIME," Yes, here we are.",4
367,ep_2,TYRION, Together again.,2
368,ep_2,TYRION, And the masses rejoice.,4
369,ep_2,JAIME, How do they feel about their new queen?,8
370,ep_2,TYRION, She's your new queen too.,5
371,ep_2,TYRION, They remember what happened the last time Targaryens brought dragons north. They'll come around once they see Daenerys is different.,20
372,ep_2,JAIME, And she is? Different?,4
373,ep_2,TYRION, She is.,2
374,ep_2,JAIME, You're sure about her?,4
375,ep_2,TYRION, I am.,2
376,ep_2,JAIME, She didn't seem sure about you.,6
377,ep_2,TYRION, It's hard to blame her. I made a mistake common to clever people. I underestimated my opponents.,17
378,ep_2,JAIME, Hmm.,1
379,ep_2,TYRION, Cersei told me the pregnancy had changed her. A chance for you both to start again. And I believed her.,20
380,ep_2,TYRION, Was she lying about the baby too?,7
381,ep_2,JAIME," No, that part is real.",5
382,ep_2,JAIME, She's always been good at using the truth to tell lies. I wouldn't be too hard on yourself. She's fooled me more than anybody.,24
383,ep_2,JAIME, What?,1
384,ep_2,TYRION," She never fooled you. You always knew exactly what she was, and you loved her anyway.",16
385,ep_2,TYRION," So we're going to die at Winterfell. Not the death I would've chosen. I always pictured myself dying in my own bed, the age of 80, with a belly full of wine and-",33
387,ep_2,JAIME, Your cock.,2
388,ep_2,TYRION, My cock.,2
389,ep_2,TYRION, At least Cersei won't get to murder me. I'm sure I'll feel some satisfaction denying her that pleasure while I'm being ripped apart by dead men.,26
390,ep_2,TYRION, Maybe after I'm dead I'll march down to King's Landing and rip her apart.,14
391,ep_2,BRIENNE, Ser Jaime.,2
392,ep_2,JAIME, Lady Brienne.,2
393,ep_2,JAIME, He's come a long way.,5
394,ep_2,BRIENNE, He's all right. Still has a lot to learn.,9
395,ep_2,JAIME, I'm sure you'll teach him. I've been told you're commanding the left flank.,13
396,ep_2,BRIENNE," I am. It's, uh-It's good ground.",6
397,ep_2,JAIME, It is.,2
398,ep_2,BRIENNE," The rise, it should give us some advantage.",8
399,ep_2,BRIENNE," If we can keep a tight formation, we might be able to beat them back.",15
400,ep_2,JAIME," Yes, I think you're right.",5
401,ep_2,BRIENNE, What are you doing?,4
402,ep_2,JAIME, What?,1
403,ep_2,BRIENNE, I think you know.,4
404,ep_2,JAIME, I truly don't.,3
405,ep_2,BRIENNE, We have never had a conversation last this long without you insulting me. Not once.,15
406,ep_2,JAIME, You want me to insult you?,6
407,ep_2,BRIENNE, No!,1
408,ep_2,JAIME, Good.,1
409,ep_2,JAIME," I came to Winterfell because-I'm not the fighter I used to be. But I'd be honored to serve under your command, if you'll have me.",25
410,ep_2,BRIENNE, I better get back.,4
411,ep_2,JORAH," Forgive me, khaleesi.",3
412,ep_2,DAENERYS, Have you done something to offend me?,7
413,ep_2,JORAH, Many things.,2
414,ep_2,DAENERYS, Long ago and long forgiven.,5
415,ep_2,JORAH," But you did forgive, despite my failures. When I heard you'd named Tyrion your Hand, it broke my heart.",19
416,ep_2,DAENERYS," When I named him Hand, I didn't know if I'd ever see you again.",14
417,ep_2,JORAH, You made the right choice.,5
418,ep_2,DAENERYS, I wasn't under the impression you liked him very much.,10
419,ep_2,JORAH, I didn't. His mouth hardly stopped moving between Volantis and Meereen. It was all I could do not to throw him in the sea.,24
420,ep_2,JORAH, But the mind behind all those words-,7
421,ep_2,DAENERYS, He's made mistakes. Serious mistakes.,5
422,ep_2,JORAH, As have we all. He owns his and learns from them.,11
423,ep_2,DAENERYS, You're advising me to forgive the man who stole your position?,11
424,ep_2,JORAH," I am. And one other suggestion, if you'll allow me.",10
425,ep_2,ROYCE," The moment we can get the last infantryman out onto the field, we should shut the gates.",17
426,ep_2,SANSA, Keep them open for as long as you can. There are still people coming in from the countryside.,18
427,ep_2,DAENERYS," Lady Sansa, I was hoping we could speak alone.",9
428,ep_2,DAENERYS, I thought you and I were on the verge of agreement before. About Ser Jaime.,15
429,ep_2,SANSA," Brienne has been loyal to me, always. I trust her more than anyone.",13
430,ep_2,DAENERYS, I wish I could have that kind of faith in my advisors.,12
